,x,y,z,fov_id,predicted_name,predicted_id,probability,distance
0,922,1480,0,226,Cd8a,85,0.91832936,
1,843,751,0,226,Txndc5,5,0.9997079,
2,1835,1590,0,226,Ada,48,0.87456053,
3,1084,747,0,226,Txndc5,5,1.0,
4,734,996,0,226,Ltb4r2,134,0.99750036,
5,1024,1658,0,226,Apob,45,0.64038706,
6,998,1706,0,226,Apob,45,0.8303243,
7,61,675,0,226,Apob,45,1.0,
8,1831,1510,0,226,Neat1,49,0.9999989,
9,1060,1390,0,226,Apob,45,0.99999976,
10,1028,803,0,226,Acta2,59,1.0,
11,668,946,0,226,Apob,45,0.996757,
12,1798,1486,0,226,Net1,46,0.77150005,
13,90,445,0,226,Apob,45,1.0,
14,1216,527,0,226,Net1,46,1.0,
15,1814,1531,0,226,Apob,45,0.9640055,
16,1240,167,0,226,Maoa,2,1.0,
17,574,1345,0,226,Apob,45,1.0,
18,1046,1416,0,226,Apob,45,0.9999993,
19,1617,1407,0,226,Neat1,49,0.9999937,
20,868,1687,0,226,Apob,45,1.0,
21,1253,233,0,226,Tnfrsf21,122,0.9999932,
22,1679,1443,0,226,Apob,45,0.9999999,
23,657,1025,0,226,Slc51a,1,1.0,
24,1281,569,0,226,Txndc5,5,0.9999751,
25,1022,802,0,226,Acta2,59,1.0,
26,1072,1382,0,226,Ptger4,153,0.99585354,
27,952,1702,0,226,Apob,45,0.9999304,
28,1366,351,0,226,Sdc1,92,0.99999964,
29,1760,1472,0,226,Marcksl1,56,0.999951,
30,1209,1127,0,226,Ptger4,153,1.0,
31,1711,1528,0,226,Ptger4,153,1.0,
32,1746,1596,0,226,Neat1,49,0.9728166,
33,668,849,0,226,Neat1,49,1.0,
34,884,397,0,226,Ifnar1,75,1.0,
35,1071,525,0,226,Neat1,49,1.0,
36,1900,1503,0,226,Apob,45,0.99981993,
37,638,478,0,226,Txndc5,5,0.99964035,
38,1908,1484,0,226,Apob,45,0.9997284,
39,592,1306,0,226,Apob,45,0.89606565,
40,604,1263,0,226,Marcksl1,56,0.99998915,
41,981,1407,0,226,Txndc5,5,0.9999993,
42,562,1361,0,226,Apob,45,1.0,
43,1880,1547,0,226,Apob,45,0.99999976,
44,900,739,0,226,Txndc5,5,1.0,
45,1755,1606,0,226,Apob,45,1.0,
46,1642,1418,0,226,Apob,45,0.9999995,
47,1232,454,0,226,Net1,46,0.9999999,
48,842,738,0,226,Txndc5,5,1.0,
49,1070,1393,0,226,Apob,45,0.99882334,
50,1792,1440,0,226,Acta2,59,0.5957882,
51,934,562,0,226,Cd79a,88,0.9595671,
52,870,869,0,226,Ffar2,128,0.99985397,
53,561,1406,0,226,Apob,45,0.9999999,
54,1780,1526,0,226,Ada,48,0.9999932,
55,956,1513,0,226,Cckar,223,0.9999995,
56,989,1348,0,226,Ada,48,0.9923765,
57,1083,1326,0,226,Ptger4,153,0.99850297,
58,1068,1323,0,226,Sdc1,92,0.9999999,
59,650,646,0,226,Sdc1,92,1.0,
60,1796,1446,0,226,Marcksl1,56,0.9982419,
61,689,1532,0,226,Lpar3,137,1.0,
62,1005,1706,0,226,Apob,45,1.0,
63,631,1445,0,226,Sdc1,92,0.99976736,
64,1129,1335,0,226,Ptger4,153,0.5002985,
65,1669,1274,0,226,Neat1,49,1.0,
66,615,851,0,226,Apob,45,1.0,
67,1183,1126,0,226,Sdc1,92,1.0,
68,1851,1549,0,226,Ada,48,0.9999999,
69,1073,1311,0,226,Cps1,4,0.72180843,
70,41,560,0,226,Fzd5,167,0.99998486,
71,1064,1381,0,226,Apob,45,0.9999964,
72,1791,1432,0,226,Htr4,203,0.81935966,
73,1198,862,0,226,Gpr55,142,0.9999713,
74,562,1384,0,226,Apob,45,1.0,
75,1802,1426,0,226,Fzd10,170,0.8942359,
76,1595,1456,0,226,Slc12a2,10,0.5996191,
